,Official Core Consumer Price Index,Energy Price Index,Food Price Index,Headline Consumer Price Index,Producer Price Index,Petrol,Diesel
2009-12-01,0.3056943056943057,-0.1636363636363636,0.4900662251655628,0.4035874439461883,0.48905235828645593,-0.4814080615125859,-0.4797838486940852
2010-01-01,0.2977022977022976,-0.07272727272727271,0.48599083036169116,0.40159441953163905,0.4961488533102551,-0.1441460923890197,-0.18015010507355114
2010-02-01,0.3036963036963038,-0.1636363636363636,0.5063678043810492,0.40558046836073725,0.5015144958892253,-0.14276846679081404,-0.1824076853797653
2010-03-01,0.30969030969030975,-0.10909090909090911,0.5124808965868567,0.4135525660189337,0.5368238857637386,-0.041268697062534526,-0.10183128189732779
2010-04-01,0.3176823176823176,-0.054545454545454515,0.5185939887926643,0.4235176880916791,0.5385547382085676,-0.044993091848381676,-0.08549984989492597
2010-05-01,0.3216783216783216,-0.09090909090909091,0.5145185939887926,0.42750373692077703,0.5120726958026827,0.019198654412206022,-0.021062743920744056
2010-06-01,0.3256743256743257,-0.10909090909090911,0.5145185939887926,0.42949676133532627,0.5049762007788835,-0.01583468492821579,-0.032350645451815915
2010-07-01,0.3216783216783216,-0.12727272727272732,0.5328578706062148,0.4255107125062281,0.4997836434443963,-0.03303898600348481,-0.06072250575402718
2010-08-01,0.3316683316683316,-0.10909090909090911,0.5348955680081507,0.43348281016442447,0.4926871484205969,-0.08522056026110884,-0.11524066846792679
2010-09-01,0.3316683316683316,-0.10909090909090911,0.5348955680081507,0.43348281016442447,0.5032453483340543,-0.07761158166636713,-0.09846892824977416
2010-10-01,0.3336663336663338,-0.09090909090909091,0.5430463576158938,0.4374688589935224,0.5226308957161401,0.020384053182755105,0.002681877314120401
2010-11-01,0.33766233766233755,-0.07272727272727271,0.573611818644931,0.4434479322371699,0.5243617481609693,-0.02631104703550256,-0.031774241969378184
2010-12-01,0.34765234765234754,0.0181818181818182,0.6021395822720325,0.45939212755356246,0.5473820856771959,0.07105184117258298,0.06453317322125526
2011-01-01,0.3436563436563438,0.07272727272727271,0.6021395822720325,0.4613851519681114,0.5650367806144525,0.37544302276686436,0.4012608826178329
2011-02-01,0.3536463536463538,0.12727272727272732,0.620478858889455,0.4713502740408568,0.5738641280830808,0.39238301195410563,0.4385469828880223
2011-03-01,0.35964035964035973,0.09090909090909091,0.5960264900662251,0.477329347284504,0.611077455646906,0.391301736048537,0.4422695887120991
2011-04-01,0.37362637362637374,0.14545454545454542,0.5980641874681608,0.49128051818634755,0.6339247079186499,0.45401573857151384,0.5122185529870915
2011-05-01,0.37362637362637374,0.14545454545454542,0.6245542536933263,0.4952665670154458,0.6268282128948505,0.47482429266534487,0.5183068147703398
2011-06-01,0.3716283716283716,0.10909090909090911,0.6428935303107488,0.4952665670154458,0.6339247079186499,0.4867543701567848,0.4975682978084668
2011-07-01,0.3716283716283716,0.14545454545454542,0.6469689251146205,0.4952665670154458,0.6392903504976201,0.43387997837448167,0.4706094265986195
2011-08-01,0.3816183816183816,0.1636363636363636,0.6510443199184921,0.5032386646736422,0.6233665080051926,0.4802667147233731,0.5023116181326935
2011-09-01,0.38561438561438566,0.2727272727272727,0.6551197147223635,0.5151968111609365,0.641021202942449,0.4973468693057808,0.5330531371960373
2011-10-01,0.38761238761238753,0.23636363636363633,0.6367804381049413,0.5151968111609365,0.6392903504976201,0.4328707875292845,0.4716181326928857
2011-11-01,0.3896103896103897,0.19999999999999993,0.6490066225165562,0.5191828599900348,0.6392903504976201,0.4393103862557813,0.5153767637346149
2011-12-01,0.3976023976023975,0.12727272727272732,0.6754966887417216,0.525161933233682,0.6358286456079618,0.4270439118159426,0.5208646052236571
2012-01-01,0.38761238761238753,0.0363636363636364,0.6693835965359143,0.5191828599900348,0.7064474253569882,0.4697543100859012,0.5654758330831584
2012-02-01,0.39560439560439564,0.0181818181818182,0.693835965359144,0.5291479820627801,0.7294677628732149,0.4733585631044632,0.5659161412989099
2012-03-01,0.40159840159840154,0.0181818181818182,0.683647478349465,0.5331340308918784,0.7452185201211595,0.5297050519613142,0.6076253377364158
2012-04-01,0.40959040959040965,-0.0363636363636364,0.6816097809475293,0.5430991529646237,0.7363911726525313,0.5865921787709493,0.6467126988892231
2012-05-01,0.41158841158841153,-0.09090909090909091,0.6877228731533367,0.5430991529646237,0.7204673301601038,0.5069261728840029,0.5768598018613034
2012-06-01,0.4075924075924075,-0.12727272727272732,0.6856851757514008,0.5371200797209763,0.6851579402855905,0.4195350513606049,0.48417892524767375
2012-07-01,0.40959040959040965,-0.10909090909090911,0.6897605705552724,0.5391131041355256,0.6623106880138467,0.4522136120622332,0.503872710897629
2012-08-01,0.4175824175824175,-0.12727272727272732,0.693835965359144,0.5470852017937217,0.7081782778018172,0.5045353517150237,0.5413989792855004
2012-09-01,0.42157842157842157,-0.1636363636363636,0.693835965359144,0.5530642750373692,0.7170056252704455,0.5189884063194568,0.5757069948964275
2012-10-01,0.43156843156843155,-0.10909090909090911,0.7040244523688232,0.5610363726955653,0.7170056252704455,0.5209587313029374,0.575226658661063
2012-11-01,0.4335664335664337,-0.10909090909090911,0.726439123790117,0.5650224215246635,0.7223712678494157,0.4533749824793251,0.5248874211948371
2012-12-01,0.43756243756243746,-0.10909090909090911,0.7508914926133468,0.5710014947683107,0.7135439203807874,0.44291463927434355,0.5403542479735821
2013-01-01,0.4235764235764237,-0.10909090909090911,0.7529291900152827,0.5650224215246635,0.7329294677628732,0.4383973088244123,0.520180126088262
2013-02-01,0.4335664335664337,-0.09090909090909091,0.7671930718288332,0.5749875435974089,0.762873215058416,0.48903706373520694,0.5668567997598325
2013-03-01,0.44155844155844154,-0.09090909090909091,0.7570045848191541,0.5809666168410561,0.7699697100822154,0.5022326345087205,0.5753227259081365
2013-04-01,0.4435564435564437,-0.14545454545454542,0.7733061640346409,0.5849526656701542,0.7824318476849847,0.4774033359364047,0.5392174522165519
2013-05-01,0.44955044955044965,-0.10909090909090911,0.7733061640346409,0.5889387144992525,0.7647771527477282,0.4541959512224421,0.4916241368958275
2013-06-01,0.4475524475524475,-0.07272727272727271,0.7610799796230259,0.5849526656701542,0.7753353526611856,0.4516929977373301,0.49030321224857426
2013-07-01,0.44555444555444557,-0.09090909090909091,0.7671930718288332,0.5849526656701542,0.7964517524881003,0.45492881600288293,0.5113419393575509
2013-08-01,0.4515484515484515,-0.10909090909090911,0.7773815588385122,0.5929247633283508,0.7929900475984422,0.5020123746020302,0.5407985589912944
2013-09-01,0.45954045954045963,-0.10909090909090911,0.7794192562404483,0.5989038365719979,0.785893552574643,0.47818826214933596,0.5374722305613935
2013-10-01,0.4615384615384615,-0.18181818181818182,0.781456953642384,0.6008968609865468,0.7682388576373862,0.4059590316573555,0.487241068748124
2013-11-01,0.4655344655344656,-0.2,0.7834946510443199,0.6008968609865468,0.7471224578104715,0.42537394125067546,0.5193635544881423
2013-12-01,0.46753246753246747,-0.2,0.791645440652063,0.6088689586447433,0.761142362613587,0.4014537153841531,0.48940258180726554
2014-01-01,0.4535464535464537,-0.21818181818181817,0.793683138053999,0.5989038365719979,0.6463868455214192,0.2944194149095929,0.3711317922545788
2014-02-01,0.46353646353646366,-0.2545454545454545,0.803871625063678,0.606875934230194,0.6463868455214192,0.3362768066318249,0.4296207345141599
2014-03-01,0.4695304695304696,-0.2727272727272727,0.793683138053999,0.6108619830592923,0.6463868455214192,0.3052802306721925,0.3913139197438212
2014-04-01,0.4795204795204796,-0.23636363636363636,0.7834946510443199,0.6168410563029394,0.6339247079186499,0.3326725536132631,0.4029420594416094
2014-05-01,0.4795204795204796,-0.2727272727272727,0.7590422822210902,0.6168410563029394,0.6287321505841624,0.33795879137382073,0.41801260882617886
2014-06-01,0.4835164835164837,-0.21818181818181817,0.7631176770249618,0.6208271051320376,0.6180008654262223,0.34156304439238233,0.39625337736415533
2014-07-01,0.47752247752247745,-0.2545454545454545,0.7590422822210902,0.6168410563029394,0.6057118130679358,0.365783624677119,0.4105193635544884
2014-08-01,0.48751248751248744,-0.2727272727272727,0.7549668874172184,0.6228201295465869,0.6091735179575939,0.26707514867543686,0.29708796157310186
2014-09-01,0.4895104895104896,-0.3090909090909091,0.7508914926133468,0.6248131539611359,0.6128083080917351,0.3243227007869281,0.3627739417592317
2014-10-01,0.49350649350649367,-0.3090909090909091,0.7529291900152827,0.6268061783756849,0.6091735179575939,0.2648725496085375,0.317662363654559
2014-11-01,0.4915084915084915,-0.34545454545454546,0.748853795211411,0.6228201295465869,0.611077455646906,0.22582647524078373,0.25501851295907185
2014-12-01,0.49550449550449555,-0.41818181818181815,0.7549668874172184,0.6228201295465869,0.6003461704889658,0.0677599567489633,0.14812368658060682
2015-01-01,0.4835164835164837,-0.45454545454545453,0.7407030056036676,0.6088689586447433,0.5934227607096494,-0.13395807052321831,-0.05671970379265422
2015-02-01,0.4915084915084915,-0.4727272727272727,0.7345899133978603,0.6148480318883904,0.582691475551709,-0.1856190304559385,-0.11175022515760968
2015-03-01,0.49350649350649367,-0.49090909090909096,0.7325522159959246,0.6168410563029394,0.5915188230203374,-0.06289421517390574,-0.02515761032722835
2015-04-01,0.4995004995004996,-0.49090909090909096,0.7244014263881813,0.6228201295465869,0.5863262656858502,-0.048837628401514475,0.015430801561093402
2015-05-01,0.5034965034965037,-0.4727272727272727,0.7223637289862456,0.6268061783756849,0.5473820856771959,-0.057547906529705845,-0.026658661062743557
2015-06-01,0.5034965034965037,-0.49090909090909096,0.7162506367804379,0.6268061783756849,0.5385547382085676,0.007568931338979538,0.044311017712399314
2015-07-01,0.5054945054945056,-0.45454545454545453,0.7040244523688232,0.6248131539611359,0.5314582431847684,-0.045101219438938474,-0.09709996997898458
2015-08-01,0.5114885114885115,-0.4727272727272727,0.7040244523688232,0.630792227204783,0.5226308957161401,-0.03640295548747577,-0.12572800960672398
2015-09-01,0.5134865134865136,-0.509090909090909,0.7040244523688232,0.628799202790234,0.5297273907399392,-0.15125848501231512,-0.16223356349444537
2015-10-01,0.5174825174825174,-0.509090909090909,0.6958736627610798,0.630792227204783,0.5331890956295974,-0.10792735427804856,-0.16407485239667696
2015-11-01,0.5194805194805195,-0.4727272727272727,0.6979113601630158,0.630792227204783,0.5226308957161401,-0.1478945155283239,-0.14476133293305246
2015-12-01,0.5254745254745256,-0.45454545454545453,0.693835965359144,0.6327852516193323,0.5331890956295974,-0.24218177449390352,-0.218961272891023
2016-01-01,0.5114885114885115,-0.43636363636363634,0.6877228731533367,0.6228201295465869,0.5456512332323668,-0.27458400913077496,-0.3463224256979878
2016-02-01,0.5174825174825174,-0.43636363636363634,0.6897605705552724,0.6268061783756849,0.551016875811337,-0.29590917282393303,-0.3782647853497443
2016-03-01,0.5274725274725274,-0.4,0.6754966887417216,0.6327852516193323,0.5562094331458242,-0.2522977112993337,-0.3063944761332925
2016-04-01,0.5294705294705295,-0.41818181818181815,0.6734589913397859,0.6367713004484302,0.5579402855906533,-0.21608698263951517,-0.2641128790153101
2016-05-01,0.5334665334665336,-0.41818181818181815,0.6653082017320425,0.6407573492775285,0.549112938122025,-0.11824352736228791,-0.1651155809066339
2016-06-01,0.5354645354645355,-0.4,0.6571574121242995,0.6447433981066266,0.5633059281696235,-0.10362227428365511,-0.16217352146502506
2016-07-01,0.5354645354645355,-0.38181818181818183,0.6510443199184921,0.6427503736920777,0.6074426655127649,-0.11839971165975932,-0.17238066646652586
2016-08-01,0.5414585414585414,-0.36363636363636365,0.6591951095262352,0.6487294469357249,0.6145391605365641,-0.17336457019282825,-0.22241969378564921
2016-09-01,0.5474525474525473,-0.3090909090909091,0.6571574121242995,0.654708520179372,0.6145391605365641,-0.12146332672553682,-0.16703692584809318
2016-10-01,0.5494505494505496,-0.3090909090909091,0.6469689251146205,0.6567015445939209,0.6552141929900474,-0.024328707875293266,-0.05271690183128121
2016-11-01,0.5534465534465536,-0.2727272727272727,0.6551197147223635,0.6606875934230192,0.6498485504110775,-0.11177189083118143,-0.15074552186530507
2016-12-01,0.5614385614385614,-0.21818181818181817,0.6714212939378502,0.6686596910812156,0.6498485504110775,-0.032137922748844305,-0.04040828580005928
2017-01-01,0.5474525474525473,-0.2,0.6775343861436576,0.6606875934230192,0.6623106880138467,0.08896497867483569,0.08117682377664419
2017-02-01,0.5594405594405596,-0.12727272727272732,0.693835965359144,0.6726457399103138,0.6604067503245348,0.09094731783504477,0.07519663764635312
2017-03-01,0.5654345654345655,-0.12727272727272732,0.6999490575649514,0.6786248131539611,0.6640415404586757,0.051781101700005515,0.034175923146202915
2017-04-01,0.5774225774225774,-0.07272727272727271,0.7040244523688232,0.6885899352267064,0.6534833405452184,0.0663783264251813,0.046892824977484746
2017-05-01,0.5834165834165835,-0.054545454545454515,0.7060621497707589,0.6945690084703536,0.6569450454348765,0.009250916080974995,-0.024377063944760653
2017-06-01,0.5854145854145855,-0.07272727272727271,0.7040244523688232,0.6945690084703536,0.6657723929035048,0.0511563645101212,0.03235064545181687
2017-07-01,0.5834165834165835,-0.07272727272727271,0.7019867549668874,0.6945690084703536,0.6640415404586757,-0.027152039406500086,-0.06820774542179464
2017-08-01,0.5954045954045954,-0.054545454545454515,0.7040244523688232,0.704534130543099,0.6816962353959323,0.02216615606415536,-0.013449414590212516
2017-09-01,0.5994005994005995,-0.0363636363636364,0.7203260315843095,0.7105132037867462,0.6780614452617914,0.06920165795638812,0.04815370759531745
2017-10-01,0.5994005994005995,-0.0363636363636364,0.726439123790117,0.7125062282012954,0.6851579402855905,0.024196551931278357,0.01366556589612796
2017-11-01,0.6033966033966036,-0.0363636363636364,0.736627610799796,0.7184853014449426,0.6976200778883598,0.0965218958370873,0.09272891023716628
2017-12-01,0.6093906093906095,-0.054545454545454515,0.7529291900152827,0.7244643746885897,0.6958892254435308,0.07741134538755662,0.06824777344140946
2018-01-01,0.5954045954045954,-0.054545454545454515,0.7508914926133468,0.7144992526158443,0.6939852877542189,0.1809094731783498,0.18836385469828915
2018-02-01,0.6053946053946054,-0.09090909090909091,0.7529291900152827,0.7224713502740407,0.6922544353093897,0.1483750825974645,0.15520864605223733
2018-03-01,0.6093906093906095,-0.12727272727272732,0.7610799796230259,0.7264573991031388,0.6939852877542189,0.18694058989607681,0.23110177123986853
2018-04-01,0.6173826173826173,-0.14545454545454542,0.7590422822210902,0.7344294967613352,0.6939852877542189,0.18808193668528805,0.19651756229360623
2018-05-01,0.6233766233766236,-0.12727272727272732,0.7529291900152827,0.7424015944195316,0.7170056252704455,0.22806912156344436,0.24953467427199108
2018-06-01,0.6213786213786214,-0.12727272727272732,0.7447784004075394,0.7424015944195316,0.7294677628732149,0.2972707795198332,0.31353947763434453
2018-07-01,0.6213786213786214,-0.12727272727272732,0.748853795211411,0.7424015944195316,0.7311986153180439,0.26695500690815127,0.28447913539477687
2018-08-01,0.6353646353646354,-0.10909090909090911,0.7529291900152827,0.7543597409068259,0.7505841627001296,0.29004625458040445,0.3079195436805769
2018-09-01,0.6353646353646354,-0.14545454545454542,0.7508914926133468,0.7563527653213749,0.762873215058416,0.2809515227969002,0.2951065746022221
2018-10-01,0.6373626373626373,-0.14545454545454542,0.7447784004075394,0.7583457897359241,0.7699697100822154,0.3285396768186454,0.3998078655058543
2018-11-01,0.6413586413586414,-0.14545454545454542,0.748853795211411,0.7623318385650224,0.7665080051925572,0.286538114975671,0.38390873611528087
2018-12-01,0.6473526473526473,-0.18181818181818182,0.7671930718288332,0.7663178873941203,0.7717005625270443,0.15790632946877256,0.25834083858701135
